Product,Current Price,Orignal Price,Weight in lbs,True Weight,Brand,Producer,State,City,Zip Code,Source,True Amount,Amount in dz,Local,Vendor
Hormel Black Label Thick Cut Bacon,8.39,8.39,1.0,16 oz Packet,,,,,,Hyvee,,,True,hormel
Hormel Black Label Thick Cut Bacon,8.39,8.39,1.0,16 oz Packet,,,,,,Hyvee,,,True,hormel
Hormel Black Label Fully Cooked Original Thick Cut Bacon,4.79,4.99,0.1575,2.52 oz,,,,,,Hyvee,,,True,hormel
Applegate Naturals Uncured Sunday Bacon Hickory Smoked,7.39,7.39,0.5,8 oz,,,,,,Hyvee,,,True,hormel
Hy-Vee Double Smoked Thick Sliced Bacon,4.79,4.99,1.0,16 oz,,,,,,Hyvee,,,True,hormel
Applegate Naturals No Sugar Uncured Bacon Hickory Smoked,7.39,7.39,0.5,8 oz,,,,,,Hyvee,,,True,hormel
Hy-Vee Sweet Smoked Bacon,4.09,4.99,1.0,16 oz Package,,,,,,Hyvee,,,True,hormel
Hormel Black Label Original Bacon,8.39,8.39,1.0,16 oz Pack,,,,,,Hyvee,,,True,hormel
Jimmy Dean Premium Hickory Smoked Bacon,6.29,6.49,0.75,12 oz Package,,,,,,Hyvee,,,True,hormel
"Farmland Bacon, Double Smoked, Double Thick Cut",5.29,7.79,0.75,12 oz,,,,,,Hyvee,,,True,hormel
Hormel Black Label Center Cut Bacon,8.39,8.39,0.75,12 oz Pack,,,,,,Hyvee,,,True,hormel
Hy-Vee Center Cut Bacon,5.09,5.09,0.75,12 oz,,,,,,Hyvee,,,True,hormel
Country Smokehouse Thick Applewood Slab Bacon,5.49,8.99,1.0,1 lb,,,,,,Hyvee,,,True,hormel
Hormel Hormel Black Label Original Bacon,4.99,6.99,0.75,12 oz Package,,,,,,Hyvee,,,True,hormel
Farmland Naturally Hickory Smoked Classic Cut Bacon,5.29,7.79,1.0,16 oz,,,,,,Hyvee,,,True,hormel
Jimmy Dean Premium Applewood Smoked Bacon,6.29,6.49,0.75,12  oz,,,,,,Hyvee,,,True,hormel
Farmland Naturally Hickory Smoked Thick Cut Bacon,5.29,7.79,1.0,16 oz,,,,,,Hyvee,,,True,hormel
Hormel Black Label Original Bacon 4Pk,10.49,10.49,0.75,12 oz Box,,,,,,Hyvee,,,True,hormel
Oscar Mayer Naturally Hardwood Smoked Bacon,6.98,6.98,1.0,16 oz,,,,,,Hyvee,,,True,hormel
Oscar Mayer Center Cut Original Bacon,6.98,6.98,0.75,12 oz,,,,,,Hyvee,,,True,hormel
Oscar Mayer Thick Cut Bacon,6.98,6.98,1.0,16 oz,,,,,,Hyvee,,,True,hormel
Country Smokehouse Thick Hickory Smoked Slab Bacon,5.49,8.99,1.0,1 lb,,,,,,Hyvee,,,True,hormel
Hickory Country Bacon,4.19,6.49,1.0,16 oz,,,,,,Hyvee,,,True,hormel
Hy-Vee Hickory House Applewood Naturally Smoked Thick Sliced Bacon,8.39,8.39,1.5,24 oz Package,,,,,,Hyvee,,,True,hormel
Hy-Vee Sweet Smoked Thick Sliced Bacon,4.09,4.99,1.0,16 oz,,,,,,Hyvee,,,True,hormel
Hy-Vee Fully Cooked Hickory Smoked Bacon,4.19,4.99,0.1575,2.52 oz,,,,,,Hyvee,,,True,hormel
Hormel Black Label Applewood Thick Cut Bacon,8.39,8.39,0.75,12 oz Tray,,,,,,Hyvee,,,True,hormel
Farmland Naturally Applewood Smoked Classic Cut Bacon,5.29,7.79,1.0,16 oz,,,,,,Hyvee,,,True,hormel
Farmland Naturally Hickory Smoked Thick Cut Bacon Package,12.59,12.59,1.5,24 oz Zip Pak,,,,,,Hyvee,,,True,hormel
Hy-Vee Lower Sodium Sweet Smoked Bacon,5.09,5.09,1.0,16 oz,,,,,,Hyvee,,,True,hormel
Wright Naturally Hickory Smoked Bacon,13.39,13.39,1.5,24 oz,,,,,,Hyvee,,,True,hormel
"Hormel Bacon, Original, Uncured",8.39,8.39,0.75,12 oz Pack,,,,,,Hyvee,,,True,hormel
Jimmy Dean FC Hickory Bacon,6.29,6.49,0.1375,2.2 oz Package,,,,,,Hyvee,,,True,hormel
Smithfield Hometown Original Bacon,3.99,5.99,0.75,12 oz Package,,,,,,Hyvee,,,True,hormel
Farmland Naturally Hickory Smoked Lower Sodium Classic Cut Bacon,5.29,7.79,1.0,16 oz,,,,,,Hyvee,,,True,hormel
Hormel Black Label Maple Bacon,8.39,8.39,0.75,12 oz Bag,,,,,,Hyvee,,,True,hormel
Oscar Mayer Fully Cooked Original Bacon 2.52 oz. Box,6.29,6.29,0.1575,2.52 oz,,,,,,Hyvee,,,True,hormel
Hy-Vee Hickory House Hickory Smoked Thick Sliced Bacon,8.39,8.39,1.5,24 oz Package,,,,,,Hyvee,,,True,hormel
Oscar Mayer Selects Smoked Uncured Bacon,7.48,7.48,0.75,12 oz,,,,,,Hyvee,,,True,hormel
Jimmy Dean FC Applewood Smoked Bacon,6.29,6.49,0.1375,2.2 oz Package,,,,,,Hyvee,,,True,hormel
Oscar Mayer Center Cut Thick Sliced Bacon,6.98,6.98,0.75,12 oz,,,,,,Hyvee,,,True,hormel
Hormel Black Label Original Thick Cut Bacon,12.59,12.59,1.5,24 oz Bag,,,,,,Hyvee,,,True,hormel
Wright Naturally Smoked Applewood Bacon,13.39,13.39,1.5,24 oz Package,,,,,,Hyvee,,,True,hormel
Smithfield Naturally Hickory Smoked Thick Cut Bacon,3.99,5.99,0.75,12 oz,,,,,,Hyvee,,,True,hormel
Hy-Vee Hickory House Peppered Naturally Smoked Thick Sliced Bacon,8.39,8.39,1.5,24 oz Package,,,,,,Hyvee,,,True,hormel
Farmland Naturally Applewood Smoked Thick Cut Bacon,12.59,12.59,1.5,24 oz Zip Pak,,,,,,Hyvee,,,True,hormel
Farmland Naturally Hickory Smoked Extra Thick Cut Bacon,5.29,7.79,1.0,16 oz,,,,,,Hyvee,,,True,hormel
Hormel Black Label Cherrywood Thick Cut Bacon,8.39,8.39,0.75,12 oz Blister Pack,,,,,,Hyvee,,,True,hormel
Hy-Vee Blue Ribbon Maple Naturally Smoked Thick Sliced Bacon,8.39,8.39,1.5,24 oz Package,,,,,,Hyvee,,,True,hormel
Farmland Naturally Hickory Smoked 30% Less Fat Center Cut Bacon,8.19,8.19,0.75,12 oz,,,,,,Hyvee,,,True,hormel
Bourbon & Brown Sugar Slab Bacon,5.49,8.99,1.0,1 lb,,,,,,Hyvee,,,True,hormel
Hormel Natural ChoiceOriginal Thick Cut Uncured Bacon,12.59,12.59,1.25,20 oz Package,,,,,,Hyvee,,,True,hormel
Farmland Naturally Hickory Smoked Double Smoked Classic Cut Bacon,5.29,7.79,1.0,16 oz,,,,,,Hyvee,,,True,hormel
Des Moines Bacon & Meat Company Hardwood Smoked Uncured Country Bacon,6.29,7.49,0.75,12 oz Package,,,,,,Hyvee,,,True,hormel
Hormel Black Label Jalapeno Thick Cut Bacon,8.39,8.39,0.75,12 oz Tray,,,,,,Hyvee,,,True,hormel
Oscar Mayer Naturally Hardwood Smoked Thick Cut Applewood Bacon,6.98,6.98,1.0,16 oz,,,,,,Hyvee,,,True,hormel
Des Moines Bacon & Meat Company Applewood Smoked Bacon,6.29,7.49,0.75,12 oz Package,,,,,,Hyvee,,,True,hormel
Oscar Mayer Natural Fully Cooked Uncured Bacon,7.89,7.89,0.1575,2.52 oz,,,,,,Hyvee,,,True,hormel
Hy-Vee Grade A Large Eggs,4.59,4.59,,,,,,,,Hyvee,12 ct,1.0,True,hormel
Hy-Vee Grade A Large Eggs,6.79,6.79,,,,,,,,Hyvee,18 ct,1.5,True,hormel
Farmers Hen House Free Range Organic Large Brown Grade A Eggs,6.29,6.29,,,,,,,,Hyvee,12 ct Carton,1.0,True,hormel
That's Smart! Large Shell Eggs,3.19,3.19,,,,,,,,Hyvee,12 ct,1.0,True,hormel
Farmers Hen House Free Range Grade A Large Brown Eggs,5.29,5.29,,,,,,,,Hyvee,12 ct Carton,1.0,True,hormel
Hy-Vee Grade A Extra Large Eggs,6.89,6.89,,,,,,,,Hyvee,18 ct Carton,1.5,True,hormel
Egglands Best Farm Fresh Grade A Large Eggs,6.29,6.29,,,,,,,,Hyvee,18 ct,1.5,True,hormel
Eggland's Best Grade A Large Eggs,4.19,4.19,,,,,,,,Hyvee,12 ct,1.0,True,hormel
Hy-Vee Free Range Large Brown Egg Grade A,4.19,4.19,,,,,,,,Hyvee,12 ct,1.0,True,hormel
Hy-Vee Grade A Jumbo Eggs,4.79,4.79,,,,,,,,Hyvee,12 ct,1.0,True,hormel
Hy-Vee Cage Free Large Brown Egg Grade A,6.29,6.29,,,,,,,,Hyvee,18 ct,1.5,True,hormel
Eggland's Best Cage Free Brown Grade A Large Eggs,5.79,5.79,,,,,,,,Hyvee,12 ct,1.0,True,hormel
Hy-Vee Cage Free Large Brown Egg Grade A,4.19,4.19,,,,,,,,Hyvee,12 ct,1.0,True,hormel
Hy-Vee Cage Free Omega-3 Grade A Large Brown Eggs,4.19,4.19,,,,,,,,Hyvee,12 ct,1.0,True,hormel
Farmers Hen House Pasture Raised Organic Grade A Large Brown Eggs,7.39,7.39,,,,,,,,Hyvee,12 ct Carton,1.0,True,hormel
Hy-Vee HealthMarket Organic Grade A Large Eggs,5.79,5.79,,,,,,,,Hyvee,12 ct,1.0,True,hormel
Eggland's Best Extra Large Eggs,2.99,4.19,,,,,,,,Hyvee,12 ct,1.0,True,hormel
Hy-Vee Grade A Extra Large Eggs,4.69,4.69,,,,,,,,Hyvee,12 ct,1.0,True,hormel
Egglands Best XL Eggs,6.59,6.59,,,,,,,,Hyvee,18 ct,1.5,True,hormel
Hy-Vee One Step Pasture Raised Large Brown Eggs,5.29,5.29,,,,,,,,Hyvee,1 dz,1.0,True,hormel
Farmers Hen House Jumbo Brown Eggs,5.29,5.29,,,,,,,,Hyvee,12 ct,1.0,True,hormel
"Nellie's Eggs, Brown, Free Range, Large",8.39,8.39,,,,,,,,Hyvee,18 ct,1.5,True,hormel
Hy-Vee Grade A Medium Eggs,3.79,3.79,,,,,,,,Hyvee,12 ct,1.0,True,hormel
"Pete And Gerry's Eggs, Organic, Brown, Free Range, Large",7.39,7.39,,,,,,,,Hyvee,12 ct,1.0,True,hormel
